Tier,HP,PvP DMG Reduction,Defense Stats Percentage Bonus,PvE Stats Percentage Bonus,PvP Stats Percentage Bonus
1,110,12,10,30,30
2,200,15,11,33,33
3,290,18,12,36,36
4,380,21,13,39,39
5,470,24,14,42,42
6,560,27,15,45,45
7,650,30,16,48,48
8,740,33,17,51,51
9,830,36,18,54,54
10,920,39,20,60,60
11,960,42,21,62,62
12,1000,45,22,64,64
13,1040,48,23,66,66
14,1080,51,24,68,68
15,1120,54,25,70,70
16,1160,57,26,72,72
17,1200,60,27,74,74
18,1240,63,28,76,76
19,1280,66,29,78,78
20,1320,69,30,80,80